c_id,date,price
308,2025-02-10,9600
309,2025-02-10,13000
310,2025-02-10,6600
300,2025-02-10,1100
301,2025-02-10,1400
302,2025-02-10,2000
303,2025-02-10,1950
304,2025-02-10,2600
305,2025-02-10,950
306,2025-02-10,1450
292,2025-02-10,1800
295,2025-02-10,13000
294,2025-02-10,3600
293,2025-02-10,2400
298,2025-02-10,600
299,2025-02-10,1050
296,2025-02-10,2000
297,2025-02-10,3100
317,2025-02-10,1900
318,2025-02-10,2600
319,2025-02-10,3000
320,2025-02-10,3500
321,2025-02-10,3400
323,2025-02-10,2700
322,2025-02-10,3800
326,2025-02-10,1400
324,2025-02-10,3500
327,2025-02-10,2200
325,2025-02-10,6000
328,2025-02-10,950
329,2025-02-10,1500
330,2025-02-10,70000
331,2025-02-10,100000
332,2025-02-10,95000
333,2025-02-10,170000
334,2025-02-10,160000
335,2025-02-10,15000
336,2025-02-10,20500
337,2025-02-10,1200
338,2025-02-10,2800
339,2025-02-10,3000
340,2025-02-10,650
342,2025-02-10,600
343,2025-02-10,900
344,2025-02-10,1200
345,2025-02-10,150
346,2025-02-10,300
348,2025-02-10,400
349,2025-02-10,500
350,2025-02-10,750
351,2025-02-10,850
352,2025-02-10,1700
353,2025-02-10,1400
354,2025-02-10,2200
358,2025-02-10,7500
359,2025-02-10,850
360,2025-02-10,1400
361,2025-02-10,2200
287,2025-02-17,2600
288,2025-02-17,3100
289,2025-02-17,250
290,2025-02-17,500
291,2025-02-17,2000
311,2025-02-17,2600
312,2025-02-17,1500
308,2025-02-17,9600
309,2025-02-17,13000
310,2025-02-17,6600
300,2025-02-17,1100
301,2025-02-17,1400
302,2025-02-17,2000
303,2025-02-17,1950
304,2025-02-17,2600
305,2025-02-17,950
306,2025-02-17,1450
292,2025-02-17,1800
295,2025-02-17,13000
294,2025-02-17,3600
293,2025-02-17,2400
298,2025-02-17,600
299,2025-02-17,1050
296,2025-02-17,2000
297,2025-02-17,3100
317,2025-02-17,1900
318,2025-02-17,2600
319,2025-02-17,3000
320,2025-02-17,3500
321,2025-02-17,3400
323,2025-02-17,2700
322,2025-02-17,3800
326,2025-02-17,1400
324,2025-02-17,3500
327,2025-02-17,2200
325,2025-02-17,6000
328,2025-02-17,950
329,2025-02-17,1500
330,2025-02-17,70000
331,2025-02-17,100000
332,2025-02-17,95000
333,2025-02-17,170000
334,2025-02-17,160000
335,2025-02-17,15000
336,2025-02-17,20500
337,2025-02-17,1200
338,2025-02-17,2800
339,2025-02-17,3000
340,2025-02-17,650
342,2025-02-17,600
343,2025-02-17,900
344,2025-02-17,1200
